Gender,gender,age,Salary,salary,decision
Male,1,35,20000,20,0
Male,1,40,43500,43.5,0
Male,1,49,74000,74,0
Male,1,40,107500,107.5,1
Male,1,25,79000,79,0
Female,0,47,33500,33.5,1
Female,0,46,132500,132.5,1
Male,1,42,64000,64,0
Female,0,30,84500,84.5,0
Male,1,41,52000,52,0
Male,1,42,80000,80,0
Male,1,47,23000,23,1
Female,0,32,72500,72.5,0
Female,0,27,57000,57,0
Female,0,42,108000,108,1
Female,0,33,149000,149,1
Male,1,35,75000,75,0
Male,1,35,53000,53,0
Male,1,46,79000,79,1
Female,0,39,134000,134,1
Female,0,39,51500,51.5,0
Female,0,49,39000,39,1
Male,1,54,25500,25.5,1
Female,0,41,61500,61.5,0
Female,0,31,117500,117.5,0
Male,1,24,58000,58,0
Male,1,40,107000,107,1
Male,1,40,97500,97.5,1
Female,0,48,29000,29,1
Female,0,38,147500,147.5,1
Male,1,45,26000,26,1
Male,1,32,67500,67.5,0
Female,0,37,62000,62,0
Male,1,41,79500,79.5,0
Female,0,44,113500,113.5,1
Female,0,47,41500,41.5,0
Female,0,38,55000,55,0
Female,0,39,114500,114.5,1
Male,1,42,73000,73,1
Male,1,26,15000,15,0
Female,0,21,37500,37.5,0
Female,0,59,39500,39.5,1
Female,0,39,66500,66.5,0
Female,0,43,80500,80.5,0
Male,1,49,86000,86,1
Male,1,37,75000,75,0
Female,0,49,76500,76.5,0
Male,1,28,123000,123,1
Female,0,59,48500,48.5,1
Female,0,40,60500,60.5,0
Female,0,38,99500,99.5,1
Male,1,51,35500,35.5,1
Female,0,55,130000,130,1
Female,0,23,56500,56.5,0
Female,0,49,43500,43.5,1
Female,0,49,36000,36,1
Male,1,48,21500,21.5,1
Female,0,49,98500,98.5,0
Male,1,43,59500,59.5,0
Female,0,35,147000,147,1
Female,0,50,109500,109.5,1
Male,1,48,26500,26.5,1
Male,1,49,88000,88,1
Female,0,38,72500,72.5,0
Male,1,27,58000,58,0
Male,1,35,22000,22,0
Female,0,35,71000,71,0
Male,1,43,129000,129,1
Male,1,41,45000,45,0
Male,1,39,42000,42,0
Female,0,45,40500,40.5,0
Female,0,51,37500,37.5,1
Male,1,20,86500,86.5,0
Female,0,41,63000,63,0
Male,1,58,41500,41.5,1
Female,0,50,115500,115.5,1
Female,0,28,55500,55.5,0
Male,1,34,32500,32.5,0
Female,0,57,106500,106.5,1
Female,0,50,53500,53.5,1
Male,1,49,28000,28,1
Male,1,53,151500,151.5,1
Male,1,42,88500,88.5,1
Female,0,27,17000,17,0
Female,0,59,76000,76,1
Female,0,51,136500,136.5,1
Female,0,49,120500,120.5,1
Female,0,32,35500,35.5,0
Male,1,30,44500,44.5,0
Female,0,27,18500,18.5,0
Female,0,36,50000,50,0
Male,1,60,144500,144.5,1
Male,1,38,51000,51,0
Female,0,29,38500,38.5,0
Female,0,61,103500,103.5,1
Female,0,33,151500,151.5,1
Male,1,45,75500,75.5,1
Female,0,26,17000,17,0
Male,1,30,87000,87,0
Male,1,38,60500,60.5,0
Female,0,28,84000,84,0
Female,0,50,88000,88,1
Male,1,26,80000,80,0
Male,1,39,42000,42,0
Male,1,26,16000,16,0
Female,0,51,21500,21.5,1
Male,1,36,56500,56.5,0
Male,1,47,29500,29.5,1
Female,0,18,44000,44,0
Male,1,43,109500,109.5,1
Male,1,61,43500,43.5,1
Female,0,41,30000,30,0
Male,1,31,58000,58,0
Female,0,29,83000,83,0
Female,0,48,108500,108.5,1
Female,0,38,112000,112,0
Male,1,59,143000,143,1
Female,0,33,136500,136.5,1
Male,1,35,61000,61,0
Male,1,28,59000,59,0
Male,1,30,107000,107,1
Male,1,36,99000,99,1
Male,1,40,72500,72.5,0
Female,0,33,41000,41,0
Male,1,36,23500,23.5,0
Male,1,49,34500,34.5,1
Female,0,40,72000,72,0
Female,0,20,23000,23,0
Female,0,37,137000,137,1
Female,0,47,144000,144,1
Female,0,36,24500,24.5,0
Male,1,40,76500,76.5,0
Female,0,59,88000,88,1
Female,0,36,75000,75,0
Male,1,42,44500,44.5,0
Male,1,27,89000,89,0
Male,1,32,77500,77.5,0
Female,0,48,31500,31.5,1
Female,0,38,81500,81.5,0
Male,1,62,145500,145.5,1
Male,1,38,78500,78.5,0
Male,1,40,75000,75,0
Male,1,57,72500,72.5,1
Female,0,41,114500,114.5,0
Male,1,22,89500,89.5,0
Female,0,40,74500,74.5,0
Female,0,39,56500,56.5,0
Female,0,39,73000,73,0
Female,0,41,71000,71,0
Male,1,28,32000,32,0
Male,1,39,62500,62.5,0
Male,1,25,33000,33,0
Male,1,43,81500,81.5,0
Male,1,48,74000,74,1
Male,1,37,79000,79,1
Male,1,36,144000,144,1
Female,0,32,16500,16.5,0
Female,0,51,121500,121.5,1
Male,1,30,89000,89,0
Male,1,36,39500,39.5,0
Male,1,30,135000,135,1
Female,0,63,110500,110.5,1
Male,1,48,90000,90,1
Female,0,36,78500,78.5,0
Male,1,31,136500,136.5,1
Male,1,58,61500,61.5,1
Female,0,22,55000,55,0
Female,0,46,96000,96,0
Female,0,63,48500,48.5,1
Female,0,33,28000,28,0
Male,1,35,59000,59,0
Male,1,41,87000,87,1
Male,1,26,81000,81,0
Female,0,44,134500,134.5,0
Male,1,39,120500,120.5,1
Male,1,52,67500,67.5,0
Female,0,53,82000,82,1
Male,1,43,74500,74.5,1
Male,1,51,23000,23,1
Female,0,55,125000,125,1
Female,0,60,35500,35.5,1
Female,0,38,59500,59.5,0
Male,1,24,19000,19,0
Female,0,56,106500,106.5,1
Female,0,56,36500,36.5,1
Male,1,37,70000,70,1
Female,0,61,109500,109.5,1
Male,1,44,81500,81.5,0
Female,0,45,110500,110.5,1
Female,0,55,40500,40.5,1
Male,1,51,143500,143.5,0
Male,1,50,66500,66.5,0
Female,0,26,118000,118,0
Male,1,19,19000,19,0
Male,1,43,80500,80.5,0
Male,1,31,90500,90.5,0
Male,1,39,62500,62.5,0
Female,0,53,46500,46.5,0
Female,0,44,65500,65.5,0
Male,1,47,25000,25,1
Female,0,59,83000,83,0
Female,0,42,52500,52.5,0
Male,1,38,54500,54.5,0
Female,0,41,80000,80,0
Male,1,35,88000,88,0
Male,1,52,90500,90.5,1
Female,0,51,133500,133.5,1
Male,1,20,49000,49,0
Male,1,45,32000,32,1
Male,1,62,132500,132.5,1
Female,0,54,144500,144.5,1
Female,0,49,132500,132.5,1
Female,0,20,82000,82,0
Male,1,43,63500,63.5,0
Female,0,27,16500,16.5,0
Female,0,23,64500,64.5,0
Female,0,58,95000,95,1
Male,1,61,43500,43.5,1
Male,1,21,50500,50.5,0
Female,0,34,42500,42.5,0
Female,0,19,87500,87.5,0
Male,1,42,60500,60.5,0
Female,0,47,75500,75.5,0
Male,1,20,77500,77.5,0
Male,1,36,80500,80.5,0
Male,1,40,78500,78.5,0
Male,1,40,146500,146.5,1
Female,0,55,105500,105.5,1
Female,0,40,64500,64.5,0
Female,0,28,55000,55,0
Male,1,36,76500,76.5,0
Female,0,51,45500,45.5,0
Male,1,48,33000,33,1
Female,0,24,29500,29.5,0
Male,1,30,149500,149.5,1
Female,0,40,76500,76.5,1
Female,0,62,90500,90.5,1
Male,1,57,60000,60,1
Male,1,31,74000,74,0
Female,0,27,31000,31,0
Male,1,42,104000,104,1
Male,1,49,90500,90.5,1
Male,1,36,92500,92.5,1
Male,1,45,66500,66.5,0
Female,0,31,34000,34,0
Male,1,42,98500,98.5,1
Female,0,32,90500,90.5,0
Male,1,28,59500,59.5,0
Male,1,37,61500,61.5,0
Female,0,58,38000,38,1
Female,0,57,28500,28.5,1
Female,0,51,37500,37.5,1
Female,0,27,36500,36.5,0
Male,1,20,20500,20.5,0
Male,1,50,36500,36.5,1
Female,0,21,83500,83.5,0
Female,0,57,110500,110.5,1
Male,1,40,77500,77.5,0
Female,0,21,24500,24.5,0
Male,1,30,44500,44.5,0
Male,1,42,73500,73.5,0
Female,0,40,60000,60,0
Male,1,42,65000,65,0
Male,1,43,73500,73.5,1
Female,0,42,136500,136.5,1
Female,0,49,36500,36.5,1
Male,1,21,72000,72,0
Female,0,58,127500,127.5,1
Female,0,29,88500,88.5,0
Male,1,27,81500,81.5,0
Female,0,42,53000,53,0
Female,0,38,80000,80,0
Female,0,34,150500,150.5,1
Female,0,42,79000,79,0
Female,0,35,44500,44.5,0
Male,1,35,116500,116.5,0
Female,0,26,43000,43,0
Male,1,38,81500,81.5,0
Female,0,42,81500,81.5,0
Female,0,39,75000,75,1
Male,1,47,43000,43,0
Female,0,28,44000,44,0
Female,0,44,139000,139,1
Male,1,58,75500,75.5,1
Female,0,32,119500,119.5,1
Female,0,34,29500,29.5,0
Female,0,45,131000,131,1
Male,1,31,88500,88.5,0
Male,1,49,89000,89,1
Male,1,45,56500,56.5,0
Male,1,26,81500,81.5,0
Male,1,57,61500,61.5,1
Male,1,56,133000,133,1
Female,0,47,47000,47,0
Female,0,43,54500,54.5,0
Male,1,34,44500,44.5,0
Female,0,20,27500,27.5,0
Female,0,38,149500,149.5,1
Male,1,50,29500,29.5,1
Female,0,49,141000,141,1
Male,1,49,81500,81.5,1
Female,0,35,77000,77,0
Female,0,28,32500,32.5,0
Female,0,27,73500,73.5,0
Female,0,38,113000,113,1
Male,1,49,28000,28,1
Male,1,55,71500,71.5,1
Male,1,40,79500,79.5,0
Female,0,20,82000,82,0
Female,0,25,33500,33.5,0
Male,1,27,82500,82.5,0
Female,0,51,98500,98.5,1
Female,0,27,137000,137,1
Female,0,39,113500,113.5,0
Female,0,37,78000,78,1
Male,1,60,34000,34,1
Male,1,31,18500,18.5,0
Female,0,47,51000,51,1
Male,1,36,73500,73.5,0
Female,0,20,36000,36,0
Male,1,40,43500,43.5,0
Female,0,36,98500,98.5,1
Female,0,60,43500,43.5,0
Female,0,45,140500,140.5,1
Male,1,46,59000,59,0
Male,1,38,24500,24.5,0
Female,0,41,72000,72,0
Male,1,24,64500,64.5,0
Male,1,42,79500,79.5,0
Male,1,19,25000,25,0
Male,1,28,91500,91.5,0
Male,1,57,134500,134.5,1
Male,1,33,19500,19.5,0
Male,1,28,89000,89,0
Female,0,59,96500,96.5,1
Male,1,43,66500,66.5,0
Male,1,42,136500,136.5,1
Male,1,19,85000,85,0
Female,0,61,49500,49.5,1
Male,1,50,75500,75.5,0
Female,0,34,43000,43,0
Male,1,44,74500,74.5,0
Female,0,48,51500,51.5,1
Male,1,37,74000,74,0
Female,0,37,51500,51.5,0
Male,1,39,106000,106,1
Female,0,42,31500,31.5,0
Male,1,63,104500,104.5,1
Female,0,46,41000,41,1
Male,1,38,71500,71.5,1
Female,0,52,143500,143.5,1
Female,0,51,89500,89.5,1
Female,0,26,15000,15,0
Female,0,32,69500,69.5,0
Male,1,38,63500,63.5,0
Female,0,48,114500,114.5,1
Female,0,41,52500,52.5,0
Male,1,52,88500,88.5,1
Female,0,61,47500,47.5,1
Female,0,62,44500,44.5,0
Female,0,48,30000,30,1
Female,0,34,70500,70.5,0
Male,1,29,43000,43,0
Male,1,38,80500,80.5,1
Female,0,50,52500,52.5,1
Female,0,58,34500,34.5,1
Female,0,34,72000,72,0
Male,1,24,21500,21.5,0
Female,0,42,73500,73.5,0
Female,0,38,79500,79.5,0
Male,1,48,24500,24.5,1
Male,1,46,27500,27.5,1
Female,0,50,44000,44,0
Female,0,48,48500,48.5,0
Female,0,29,56500,56.5,0
Male,1,38,73500,73.5,0
Male,1,61,35500,35.5,1
Male,1,43,55500,55.5,0
Female,0,40,139500,139.5,1
Female,0,41,143500,143.5,1
Male,1,36,59500,59.5,0
Female,0,45,45000,45,1
Male,1,19,70000,70,0
Female,0,43,133000,133,0
Male,1,38,61000,61,0
Female,0,55,92500,92.5,1
Female,0,54,104000,104,1
Male,1,25,87000,87,0
Male,1,31,76000,76,0
Male,1,60,42000,42,1
Female,0,38,81500,81.5,0
Female,0,36,72500,72.5,0
Female,0,45,92500,92.5,1
Female,0,54,148500,148.5,1
Male,1,29,60500,60.5,0
Female,0,23,28000,28,0
Male,1,46,88000,88,1
Male,1,26,30000,30,0
Female,0,39,81500,81.5,0
Male,1,45,151500,151.5,1
Female,0,36,51500,51.5,0
Female,0,40,62500,62.5,0
Male,1,25,85500,85.5,0
Female,0,52,147500,147.5,1
Female,0,30,116000,116,0
Male,1,29,43000,43,0
Male,1,40,65000,65,0
Male,1,20,71500,71.5,0
Male,1,25,80000,80,0
Female,0,43,81500,81.5,1
Female,0,53,91500,91.5,1
Female,0,46,135500,135.5,0
Female,0,56,84500,84.5,1
Female,0,26,80000,80,0
Male,1,31,18000,18,0
Female,0,62,31500,31.5,1
Male,1,42,149000,149,1
Male,1,48,34500,34.5,1
Female,0,36,66500,66.5,0
Female,0,31,89000,89,0
Female,0,37,55500,55.5,0
Female,0,41,57500,57.5,0
Female,0,28,59500,59.5,0
Male,1,33,43000,43,0
Male,1,63,36500,36.5,1
Female,0,50,36000,36,1
Female,0,34,25000,25,0
Male,1,29,33500,33.5,0
Male,1,42,46500,46.5,0
Male,1,28,90500,90.5,0
Male,1,21,88000,88,0
Female,0,53,34000,34,1
Female,0,38,65000,65,0
Female,0,21,68000,68,0
Male,1,41,66500,66.5,0
Female,0,43,112000,112,1
Male,1,47,89500,89.5,1
Male,1,38,57500,57.5,0
Female,0,29,45500,45.5,0
Male,1,38,71000,71,0
Female,0,47,107000,107,1
Female,0,41,72000,72,0
Female,0,29,85500,85.5,0
Female,0,37,146000,146,1
Male,1,41,61500,61.5,0
Female,0,36,148500,148.5,1
Male,1,26,32000,32,0
Male,1,32,75500,75.5,0
Female,0,26,72000,72,0
Male,1,42,80500,80.5,0
Male,1,61,103500,103.5,1
Female,0,53,139500,139.5,1
Male,1,43,77500,77.5,0
Female,0,47,50000,50,1
Male,1,31,50500,50.5,0
Female,0,49,84500,84.5,0
Female,0,37,127500,127.5,1
Female,0,52,90000,90,1
Male,1,46,23000,23,1
Male,1,23,19500,19.5,0
Male,1,31,16500,16.5,0
Male,1,35,72000,72,0
Female,0,19,26000,26,0
Male,1,32,120000,120,1
Female,0,38,63500,63.5,0
Female,0,40,82500,82.5,0
Female,0,19,69500,69.5,0
Female,0,22,63000,63,0
Female,0,59,106500,106.5,1
Female,0,46,46500,46.5,1
Male,1,48,44500,44.5,0
Male,1,46,131500,131.5,1
Female,0,41,51000,51,0
Female,0,58,47000,47,1
Male,1,39,146500,146.5,1
Female,0,57,105500,105.5,1
Male,1,35,79000,79,0
Female,0,39,59000,59,0
Male,1,44,130500,130.5,1
Female,0,34,114500,114.5,0
Female,0,61,25500,25.5,1
Female,0,38,58500,58.5,0
Female,0,42,75000,75,0
Female,0,30,29500,29.5,0
Female,0,28,37000,37,0
Female,0,53,39500,39.5,1
Male,1,25,24500,24.5,0
Female,0,60,46000,46,1
Male,1,52,24500,24.5,1
Male,1,40,123500,123.5,1
Female,0,33,69000,69,0
Male,1,27,17500,17.5,0
Female,0,56,126500,126.5,1
Female,0,38,50000,50,0
Male,1,41,108500,108.5,1
Female,0,43,74500,74.5,0
Male,1,47,80500,80.5,1
Female,0,38,94500,94.5,1
