Gender,gender,age,Salary,salary,decision
Female,0,52,138000,138,1
Female,0,27,96000,96,1
Male,1,40,57000,57,0
Female,0,46,22000,22,0
Male,1,32,18000,18,0
Female,0,32,117000,117,0
Male,1,40,59000,59,0
Female,0,39,56500,56.5,0
Female,0,56,131500,131.5,1
Female,0,30,79000,79,0
Male,1,41,76500,76.5,0
Female,0,61,40500,40.5,1
Male,1,56,74500,74.5,1
Male,1,35,39000,39,0
Female,0,48,131000,131,1
Female,0,36,63000,63,0
Female,0,38,138500,138.5,1
Female,0,51,146000,146,1
Female,0,59,29000,29,1
Female,0,28,85500,85.5,0
Male,1,40,72500,72.5,1
Male,1,23,63000,63,0
Male,1,56,40500,40.5,1
Male,1,41,73500,73.5,0
Male,1,26,91500,91.5,0
Male,1,20,26500,26.5,0
Male,1,24,84000,84,0
Female,0,50,40500,40.5,1
Male,1,42,65000,65,0
Female,0,27,58000,58,0
Female,0,23,66000,66,0
Female,0,47,83500,83.5,0
Male,1,49,91500,91.5,1
Female,0,35,73500,73.5,0
Female,0,57,26000,26,1
Male,1,39,96000,96,1
Female,0,31,80500,80.5,0
Female,0,59,24500,24.5,1
Male,1,40,81500,81.5,1
Female,0,43,109500,109.5,1
Female,0,42,70000,70,0
Female,0,35,50000,50,0
Female,0,39,51500,51.5,0
Male,1,50,29500,29.5,1
Female,0,32,86000,86,0
Male,1,35,27000,27,0
Female,0,40,135500,135.5,1
Female,0,20,22500,22.5,0
Male,1,21,75500,75.5,0
Female,0,49,135500,135.5,1
Male,1,36,51500,51.5,0
Male,1,36,21500,21.5,0
Female,0,58,132500,132.5,1
Female,0,44,74500,74.5,0
Male,1,40,135500,135.5,1
Male,1,20,86000,86,0
Male,1,28,21500,21.5,0
Male,1,23,82500,82.5,0
Male,1,48,41000,41,1
Female,0,43,76500,76.5,0
Female,0,19,21000,21,0
Female,0,30,62000,62,0
Male,1,32,18000,18,0
Female,0,53,38500,38.5,1
Male,1,44,54500,54.5,0
Male,1,37,55000,55,0
Male,1,46,28000,28,1
Male,1,36,62500,62.5,0
Male,1,54,70000,70,1
Female,0,44,39000,39,0
Male,1,51,92500,92.5,1
Female,0,47,97500,97.5,0
Female,0,32,150000,150,1
Female,0,62,78500,78.5,1
Female,0,25,90500,90.5,0
Female,0,42,61500,61.5,0
Male,1,35,58000,58,0
Male,1,25,22000,22,0
Male,1,41,48500,48.5,0
Female,0,58,23000,23,1
Male,1,46,33500,33.5,1
Male,1,44,89500,89.5,1
Male,1,35,108000,108,0
Female,0,44,74500,74.5,0
Female,0,48,96000,96,1
Female,0,45,55500,55.5,0
Male,1,41,60500,60.5,0
Female,0,54,105500,105.5,1
Male,1,22,18000,18,0
Male,1,18,82000,82,0
Male,1,30,62500,62.5,0
Male,1,40,61000,61,0
Male,1,41,59000,59,0
Male,1,52,76500,76.5,0
Female,0,21,16000,16,0
Female,0,27,81500,81.5,0
Male,1,29,75000,75,0
Male,1,29,61000,61,0
Male,1,27,90000,90,0
Male,1,24,23000,23,0
Female,0,37,80000,80,0
Female,0,26,35000,35,0
Female,0,22,27000,27,0
Male,1,53,72000,72,1
Female,0,27,53500,53.5,0
Male,1,28,79000,79,0
Female,0,44,74500,74.5,0
Female,0,43,71500,71.5,0
Male,1,59,145500,145.5,1
Male,1,24,55000,55,0
Male,1,31,81500,81.5,0
Female,0,37,71000,71,0
Female,0,52,135500,135.5,0
Male,1,60,83000,83,1
Male,1,36,125000,125,1
Female,0,25,28500,28.5,0
Female,0,29,86500,86.5,0
Female,0,37,57000,57,0
Male,1,60,42000,42,1
Female,0,60,124500,124.5,1
Female,0,54,108000,108,1
Male,1,20,74000,74,0
Female,0,45,81500,81.5,0
Female,0,49,24500,24.5,0
Male,1,63,44500,44.5,1
Male,1,47,118500,118.5,1
Female,0,27,44500,44.5,0
Female,0,38,52500,52.5,0
Male,1,55,39000,39,1
Female,0,18,86000,86,0
Female,0,18,68000,68,0
Male,1,61,84500,84.5,1
Female,0,28,85000,85,0
Female,0,26,52000,52,0
Female,0,36,73500,73.5,0
Male,1,32,19500,19.5,0
Female,0,35,25000,25,0
Female,0,54,35500,35.5,1
Female,0,40,82500,82.5,0
Male,1,43,55500,55.5,0
Female,0,46,114500,114.5,1
Female,0,24,89000,89,0
Male,1,37,144000,144,1
Female,0,46,74000,74,0
Male,1,43,105500,105.5,1
Female,0,48,52500,52.5,1
Male,1,42,108500,108.5,1
Male,1,50,89500,89.5,1
Male,1,30,49000,49,0
Male,1,33,31000,31,0
Male,1,39,71000,71,0
Male,1,40,54500,54.5,0
Female,0,51,134000,134,0
Female,0,53,22500,22.5,1
Male,1,37,100500,100.5,1
Female,0,40,80500,80.5,0
Male,1,22,73500,73.5,0
Female,0,41,115500,115.5,1
Female,0,45,82500,82.5,1
Male,1,29,90500,90.5,0
Female,0,60,89500,89.5,1
Male,1,38,93500,93.5,1
Female,0,47,42500,42.5,1
Male,1,34,112000,112,1
Male,1,30,17000,17,0
Female,0,44,82500,82.5,0
Male,1,29,80500,80.5,0
Male,1,29,124500,124.5,1
Female,0,37,76500,76.5,0
Male,1,50,25500,25.5,1
Female,0,36,45500,45.5,0
Female,0,59,42000,42,0
Female,0,57,33000,33,1
Male,1,49,34500,34.5,1
Male,1,27,31500,31.5,0
Male,1,49,42500,42.5,1
Female,0,30,84500,84.5,0
Male,1,38,53500,53.5,0
Female,0,41,60000,60,0
Female,0,43,91500,91.5,1
Female,0,53,90500,90.5,1
Male,1,35,55000,55,0
Male,1,50,45500,45.5,0
Male,1,45,56500,56.5,0
Female,0,34,61500,61.5,0
Female,0,42,72500,72.5,0
Female,0,19,45500,45.5,0
Male,1,36,40500,40.5,0
Male,1,48,81500,81.5,0
Female,0,26,84000,84,0
Male,1,26,88500,88.5,0
Female,0,36,54000,54,0
Female,0,42,80000,80,1
Male,1,41,58500,58.5,0
Male,1,40,57000,57,0
Female,0,35,60000,60,0
Male,1,39,101500,101.5,1
Male,1,35,91000,91,1
Female,0,42,75500,75.5,0
Female,0,42,73500,73.5,0
Male,1,38,61000,61,0
Female,0,54,26000,26,1
Male,1,47,105000,105,1
Male,1,37,77000,77,0
Male,1,42,53500,53.5,0
Male,1,36,89500,89.5,0
Female,0,35,23000,23,0
Male,1,35,50000,50,0
Male,1,28,89500,89.5,0
Male,1,27,33500,33.5,0
Male,1,49,142500,142.5,0
Female,0,42,61500,61.5,0
Male,1,41,73500,73.5,0
Female,0,51,32500,32.5,1
Male,1,36,52000,52,0
Male,1,60,131500,131.5,1
Male,1,40,57000,57,0
Female,0,39,65500,65.5,0
Male,1,33,101500,101.5,1
Male,1,46,117000,117,1
Male,1,35,73000,73,0
Male,1,60,102000,102,1
Female,0,32,135000,135,1
Male,1,19,76000,76,0
Female,0,39,128500,128.5,1
Female,0,38,62500,62.5,0
Female,0,55,23500,23.5,1
Male,1,35,113500,113.5,1
Male,1,29,80000,80,0
Female,0,47,113000,113,1
Male,1,41,72000,72,0
Female,0,43,62500,62.5,0
Male,1,44,54500,54.5,0
Male,1,30,76500,76.5,0
Female,0,50,146500,146.5,1
Female,0,52,114000,114,0
Female,0,28,58500,58.5,0
Female,0,36,126000,126,1
Male,1,37,52000,52,0
Male,1,59,135500,135.5,1
Male,1,41,58500,58.5,0
Male,1,23,20000,20,0
Male,1,25,59500,59.5,0
Female,0,37,80000,80,0
Male,1,39,122000,122,1
Female,0,60,30500,30.5,1
Female,0,40,142000,142,1
Male,1,47,24500,24.5,1
Male,1,36,74500,74.5,0
Male,1,38,41500,41.5,0
Female,0,55,27500,27.5,1
Female,0,60,28500,28.5,1
Male,1,34,115000,115,0
Male,1,27,87500,87.5,0
Female,0,33,118500,118.5,0
Female,0,28,97500,97.5,1
Female,0,29,83000,83,0
Female,0,33,51000,51,0
Female,0,53,115500,115.5,0
Male,1,38,76500,76.5,0
Male,1,37,53000,53,0
Male,1,30,81500,81.5,0
Male,1,38,145500,145.5,1
Female,0,48,119000,119,1
Female,0,33,113000,113,0
Female,0,50,142500,142.5,1
Male,1,45,79000,79,0
Male,1,51,35500,35.5,1
Female,0,35,72000,72,0
Male,1,41,79000,79,0
Female,0,53,143000,143,1
Female,0,55,109500,109.5,1
Female,0,46,82000,82,0
Female,0,25,56500,56.5,0
Male,1,18,52000,52,0
Male,1,58,144000,144,1
Female,0,29,60500,60.5,0
Female,0,50,20000,20,1
Female,0,36,58500,58.5,0
Male,1,59,62500,62.5,1
Female,0,48,47500,47.5,1
Female,0,50,37500,37.5,1
Female,0,27,85500,85.5,0
Male,1,27,16500,16.5,0
Female,0,24,49500,49.5,0
Female,0,42,77500,77.5,1
Male,1,35,44500,44.5,0
Female,0,44,62500,62.5,0
Male,1,37,126500,126.5,1
Male,1,63,44500,44.5,1
Male,1,41,72500,72.5,1
Male,1,47,20000,20,1
Male,1,27,88000,88,0
Female,0,56,104000,104,1
Male,1,38,77500,77.5,0
Female,0,31,68000,68,0
Male,1,50,87500,87.5,1
Male,1,52,30500,30.5,1
Female,0,49,97500,97.5,1
Female,0,38,74500,74.5,0
Female,0,24,55000,55,0
Male,1,42,124500,124.5,1
Female,0,46,32000,32,1
Female,0,41,52500,52.5,0
Male,1,60,62500,62.5,1
Female,0,40,59500,59.5,0
Female,0,22,17500,17.5,0
Female,0,40,95500,95.5,1
Male,1,40,55500,55.5,0
Female,0,55,116500,116.5,0
Female,0,28,18500,18.5,0
Female,0,27,119500,119.5,0
Male,1,43,65500,65.5,0
Female,0,41,76500,76.5,0
Female,0,37,64500,64.5,0
Male,1,39,134000,134,1
Male,1,48,141000,141,0
Male,1,37,119500,119.5,1
Male,1,60,76500,76.5,1
Male,1,37,53500,53.5,0
Female,0,38,79500,79.5,1
Male,1,30,15000,15,0
Female,0,53,22500,22.5,1
Female,0,58,27500,27.5,1
Female,0,43,144500,144.5,1
Female,0,40,80500,80.5,1
Female,0,37,93000,93,1
Male,1,30,80000,80,0
Female,0,45,72500,72.5,0
Female,0,45,22000,22,1
Female,0,23,48000,48,0
Female,0,38,50000,50,0
Male,1,26,23500,23.5,0
Female,0,33,87500,87.5,0
Female,0,27,54000,54,0
Male,1,43,67500,67.5,0
Male,1,59,130000,130,1
Male,1,42,53500,53.5,0
Female,0,31,118000,118,1
Male,1,39,72500,72.5,0
Male,1,31,66000,66,0
Male,1,35,38000,38,0
Female,0,60,84500,84.5,0
Male,1,38,56500,56.5,0
Male,1,61,146500,146.5,1
Male,1,26,34500,34.5,0
Male,1,39,127500,127.5,1
Male,1,36,28500,28.5,0
Male,1,45,67500,67.5,0
Female,0,48,35000,35,1
Male,1,41,63500,63.5,0
Male,1,21,87500,87.5,0
Female,0,42,90000,90,1
Male,1,25,20500,20.5,0
Male,1,26,86000,86,0
Male,1,37,72000,72,0
Female,0,40,72500,72.5,0
Female,0,60,108000,108,1
Male,1,19,53500,53.5,0
Female,0,54,83500,83.5,1
Male,1,36,60500,60.5,0
Female,0,41,67500,67.5,0
Female,0,37,33000,33,0
Male,1,54,73500,73.5,1
Male,1,41,53500,53.5,0
Male,1,56,60000,60,1
Male,1,43,150500,150.5,1
Male,1,49,119500,119.5,1
Female,0,39,61000,61,0
Female,0,23,82000,82,0
Female,0,31,63500,63.5,0
Male,1,35,75000,75,0
Female,0,48,145500,145.5,1
Male,1,39,77000,77,0
Female,0,42,73500,73.5,0
Female,0,33,118500,118.5,1
Female,0,47,49000,49,1
Male,1,40,71000,71,1
Female,0,23,28500,28.5,0
Male,1,41,58500,58.5,0
Female,0,35,47000,47,0
Female,0,40,148500,148.5,1
Male,1,36,76500,76.5,0
Male,1,46,23500,23.5,1
Male,1,31,108500,108.5,1
Female,0,55,140500,140.5,1
Female,0,52,41500,41.5,1
Male,1,40,47000,47,0
Male,1,45,106500,106.5,1
Male,1,36,60000,60,0
Male,1,42,73500,73.5,0
Male,1,52,91500,91.5,1
Male,1,36,118000,118,1
Female,0,47,30000,30,1
Male,1,43,66500,66.5,0
Female,0,58,123500,123.5,1
Female,0,57,122000,122,1
Female,0,49,31500,31.5,1
Male,1,49,75500,75.5,1
Male,1,37,145500,145.5,1
Female,0,42,64500,64.5,0
Male,1,45,22000,22,1
Male,1,47,60500,60.5,0
Male,1,39,35500,35.5,0
Female,0,35,26500,26.5,0
Female,0,22,69500,69.5,0
Male,1,37,34500,34.5,0
Female,0,61,97500,97.5,1
Female,0,33,60000,60,0
Male,1,55,152500,152.5,1
Male,1,36,54500,54.5,0
Male,1,39,62500,62.5,0
Male,1,48,35500,35.5,1
Female,0,32,117000,117,1
Male,1,33,19500,19.5,0
Female,0,21,83500,83.5,0
Male,1,39,72500,72.5,0
Female,0,41,72000,72,0
Female,0,24,27000,27,0
Female,0,51,140500,140.5,1
Male,1,38,71000,71,0
Female,0,52,21000,21,1
Male,1,34,43000,43,0
Male,1,48,106500,106.5,1
Female,0,29,28000,28,0
Female,0,59,102500,102.5,1
Female,0,29,47000,47,0
Female,0,50,49500,49.5,0
Male,1,38,75500,75.5,0
Female,0,36,61500,61.5,0
Female,0,28,59000,59,0
Male,1,43,59500,59.5,0
Male,1,57,74000,74,1
Male,1,36,109500,109.5,0
Female,0,49,139500,139.5,1
Female,0,34,52500,52.5,0
Female,0,47,141500,141.5,1
Female,0,35,65000,65,0
Male,1,50,107500,107.5,1
Female,0,41,73500,73.5,0
Male,1,50,90500,90.5,1
Female,0,56,145500,145.5,1
Female,0,35,57000,57,0
Male,1,40,78000,78,0
Female,0,49,34500,34.5,1
Male,1,25,90000,90,0
Male,1,36,33000,33,0
Female,0,48,138000,138,1
Male,1,42,54000,54,0
Male,1,51,76500,76.5,1
Male,1,49,65000,65,0
Male,1,46,80500,80.5,0
Male,1,27,20000,20,0
Male,1,39,52500,52.5,0
Female,0,35,97000,97,1
Male,1,47,34000,34,1
Female,0,52,38000,38,1
Female,0,49,30500,30.5,1
Female,0,36,26500,26.5,0
Male,1,26,80500,80.5,0
Female,0,38,34500,34.5,0
Female,0,48,50500,50.5,1
Male,1,32,100000,100,1
Female,0,40,75000,75,0
Female,0,42,81500,81.5,0
Male,1,41,62500,62.5,0
Female,0,24,83500,83.5,0
Male,1,52,150000,150,1
Female,0,48,133500,133.5,1
Male,1,41,52000,52,0
Male,1,19,83500,83.5,0
Male,1,29,148000,148,1
Female,0,58,101000,101,1
Female,0,36,48500,48.5,0
Male,1,63,85500,85.5,1
Female,0,35,44000,44,0
Male,1,22,81000,81,0
Female,0,24,32000,32,0
Female,0,39,71000,71,0
Female,0,31,15000,15,0
Female,0,60,77500,77.5,1
Male,1,32,59500,59.5,0
Female,0,46,23500,23.5,1
Female,0,39,79000,79,0
Male,1,39,60500,60.5,0
Male,1,42,54000,54,0
Female,0,28,87000,87,0
Female,0,45,77500,77.5,0
Male,1,48,33000,33,1
Female,0,31,71000,71,0
Male,1,33,121500,121.5,1
Female,0,27,84000,84,0
Male,1,25,56500,56.5,0
Female,0,30,48500,48.5,0
Female,0,24,67500,67.5,0
Female,0,54,136500,136.5,0
Female,0,53,104000,104,1
Male,1,38,59000,59,0
Female,0,47,23500,23.5,0
Female,0,28,138500,138.5,1
Female,0,48,134000,134,1
Female,0,44,73500,73.5,0